Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel
Matthew Moore,rivers,KEYBOARD,47.0,157889.24,7420794.279999999,2025-04-27,Online
Allison Hill,Lagos,Headphones,47.0,267992.94,12595668.18,2024-03-15,Wholesale
Noah Rhodes,Anambra,Keyboard,47.0,42364.41,1991127.2700000003,2024-12-10,Direct
Angie Henderson,Delta,Keyboard,47.0,279444.94,13133912.18,2024-04-05,Direct
Daniel Wagner,Delta,Tablet,47.0,95899.74,4507287.78,2025-01-12,Direct
Cristian Santos,Oyo,Camera,47.0,118189.9,5554925.3,2023-08-30,Direct
Connie Lawrence,Rivers,Tablet,36.0,185141.9,6665108.399999999,2024-09-10,Wholesale
Abigail Shaffer,Imo,Keyboard,47.0,252859.28,11884386.16,2024-09-04,Online
Gina Moore,Kano,CAMERA,47.0,178320.53,8381064.91,2024-02-21,Wholesale
Gabrielle Davis,plateau,Tablet,47.0,152440.84,7164719.4799999995,2025-06-02,Direct
Ryan Munoz,Niger,Keyboard,47.0,157889.24,7420794.279999999,2024-02-28,Direct
Monica Herrera,Abuja,Laptop,3.0,153159.37,459478.11,2025-05-02,Retail
Jamie Arnold,Lagos,Tablet,43.0,147209.07,6329990.010000001,2023-11-10,Wholesale
Matthew Moore,Kano,Camera,47.0,169095.82,7947503.54,2025-01-13,Direct
Lisa Hensley,Enugu,Tablet,27.0,142730.33,3853718.9099999997,2025-01-12,Direct
Michele Williams,Delta,Charger,47.0,5482.77,257690.19000000003,2025-06-30,Direct
Dylan Miller,Bauchi,CHARGER,47.0,99706.26,4686194.22,2025-01-04,Retail
Brian Ramirez,Katsina,Laptop,28.0,33326.57,933143.96,2024-11-17,Direct
Holly Wood,lagos,Headphones,43.0,125253.81,5385913.83,2023-11-23,Direct
Derek Zuniga,Imo,Headphones,77.0,92649.51,7134012.27,2025-03-18,Online
Lisa Jackson,Enugu,Camera,36.0,157889.24,5684012.64,2024-04-16,Direct
Carla Gray,Imo,Monitor,47.0,269680.75,12674995.25,2024-08-09,Wholesale
Margaret Hawkins DDS,Niger,Headphones,33.0,261693.68,8635891.44,2024-01-01,Retail
Patty Perez,Delta,Camera,47.0,188963.51,8881284.97,2023-10-13,Online
Ethan Adams,Ekiti,LAPTOP,4.0,179274.43,717097.72,2023-12-14,Online
Tommy Walter,Plateau,Monitor,47.0,80026.37,3761239.3899999997,2025-03-17,Wholesale
Matthew Moore,Anambra,Monitor,47.0,196849.5,9251926.5,2023-10-26,Retail
Matthew Foster,lagos,Charger,42.0,291631.03,12248503.260000002,2024-01-10,Direct
Judy Baker,Kaduna,Keyboard,47.0,173753.06,8166393.82,2025-03-15,Retail
Justin Baker,Niger,Monitor,7.0,68649.2,480544.39999999997,2024-07-28,Direct
Stephanie Ross,Sokoto,Phone,47.0,157889.24,7420794.279999999,2023-07-31,Wholesale
Zachary Hicks,Anambra,Camera,68.0,15880.87,1079899.1600000001,2024-04-16,Wholesale
Anthony Rodriguez,Oyo,MONITOR,96.0,144394.41,13861863.36,2024-09-13,Online
Rebecca Henderson,Enugu,Monitor,47.0,157507.58,7402856.26,2024-09-27,Online
James Ferrell,Sokoto,Phone,47.0,216494.26,10175230.22,2024-04-22,Online
Tricia Valencia,Rivers,Monitor,47.0,232494.54,10927243.38,2024-07-08,Wholesale
Nathan Maldonado,kano,Keyboard,47.0,114367.01,5375249.47,2025-03-26,Direct
Debra Davidson,Benue,Phone,65.0,246587.56,16028191.4,2024-09-11,Wholesale
Jeffrey Chavez,Rivers,Charger,79.0,73037.87,5769991.7299999995,2023-10-19,Wholesale
Matthew Moore,Osun,Tablet,47.0,171984.8,8083285.6,2024-10-28,Online
Sherri Baker,Osun,MONITOR,47.0,157889.24,7420794.279999999,2025-05-27,Retail
Cassandra Gaines,Katsina,Monitor,47.0,210306.01,9884382.47,2023-09-15,Online
Elizabeth Fowler,Anambra,Camera,4.0,57639.91,230559.64,2023-08-31,Retail
Brittany Farmer,Abuja,Keyboard,47.0,132591.05,6231779.35,2024-03-07,Direct
Paula Moreno,Ekiti,Camera,47.0,125924.7,5918460.899999999,2024-05-15,Direct
Fred Smith,imo,Tablet,47.0,124181.55,5836532.850000001,2025-01-17,Direct
Sherry Decker,Rivers,Monitor,47.0,61565.56,2893581.32,2025-01-19,Direct
Anthony Humphrey,Benue,Keyboard,10.0,150794.94,1507949.4,2024-07-16,Direct
Angelica Tucker,Kano,PHONE,47.0,183637.68,8630970.959999999,2024-08-22,Direct
Philip Cannon,Imo,Monitor,19.0,141745.84,2693170.96,2024-05-25,Online
John Pierce,Borno,Charger,47.0,157889.24,7420794.279999999,2025-02-27,Online
Shane Henderson,Katsina,Monitor,47.0,254588.91,11965678.77,2024-05-24,Online
Matthew Moore,Osun,Headphones,47.0,218356.93,10262775.709999999,2025-04-10,Wholesale
Joshua Blair,Plateau,Keyboard,47.0,211879.68,9958344.959999999,2024-09-29,Direct
Eric Carney,enugu,Headphones,47.0,155845.62,7324744.14,2023-09-06,Online
Jessica Holmes,Kano,Phone,47.0,168485.59,7918822.7299999995,2023-10-16,Direct
Danny Morgan,Abuja,MONITOR,47.0,299437.8,14073576.6,2024-03-13,Direct
Crystal Robinson,Delta,Phone,47.0,143772.11,6757289.169999999,2024-11-20,Wholesale
Mark Perez,Borno,Laptop,47.0,113359.02,5327873.94,2023-09-06,Direct
Shannon Jones,Kano,Monitor,47.0,287027.3,13490283.1,2024-06-24,Online
Michael Lewis,Delta,Headphones,47.0,157889.24,7420794.279999999,2024-07-06,Wholesale
Timothy Duncan,Rivers,Keyboard,93.0,138169.23,12849738.39,2024-12-20,Direct
Richard Aguirre,Benue,Headphones,47.0,160171.56,7528063.32,2024-08-15,Direct
Brent Jordan,anambra,Phone,47.0,164108.83,7713115.01,2024-04-03,Online
John Daniel,Ekiti,TABLET,47.0,202922.64,9537364.08,2023-10-18,Direct
Matthew Moore,Osun,Monitor,47.0,260362.49,12237037.03,2025-05-22,Retail
Victoria Garcia,Kaduna,Charger,94.0,204383.39,19212038.66,2025-04-14,Direct
Gerald Hensley,Osun,Camera,47.0,241193.93,11336114.709999999,2025-03-08,Direct
Connor West,Osun,Keyboard,47.0,79676.47,3744794.09,2024-09-11,Retail
Donald Wright,Enugu,Charger,47.0,145511.94,6839061.18,2024-11-18,Direct
Jessica Callahan,Anambra,Charger,47.0,157889.24,7420794.279999999,2024-10-09,Retail
Amber Kidd,Kano,Monitor,61.0,287222.55,17520575.55,2023-11-29,Retail
Tracy House,katsina,TABLET,12.0,84062.42,1008749.04,2025-02-26,Wholesale
Carol Tucker,Kaduna,Monitor,47.0,89900.5,4225323.5,2023-10-19,Wholesale
James Brown,Imo,Tablet,47.0,282474.92,13276321.239999998,2024-06-11,Wholesale
William Baker,Delta,Laptop,47.0,294686.96,13850287.120000001,2024-08-04,Direct
Jordan Henderson,Kaduna,Keyboard,47.0,231466.69,10878934.43,2025-06-17,Retail
Whitney Peters,Ekiti,Phone,47.0,211617.83,9946038.01,2025-05-15,Online
Matthew Moore,Benue,Phone,47.0,207226.85,9739661.950000001,2023-08-23,Retail
Brittney Phillips,Anambra,Charger,47.0,146956.42,6906951.74,2025-04-16,Direct
Lauren Daniels,Imo,CAMERA,47.0,157889.24,7420794.279999999,2023-10-15,Wholesale
Amy Silva,delta,Laptop,47.0,144201.13,6777453.11,2024-08-16,Direct
Sarah Moore,Sokoto,Phone,47.0,168366.03,7913203.41,2023-11-06,Wholesale
Angela Lopez,Abuja,Phone,93.0,280378.37,26075188.41,2024-03-03,Direct
Megan Young,Delta,Camera,47.0,216638.48,10182008.56,2023-11-15,Online
Steve Sanchez,Abuja,Camera,47.0,86692.92,4074567.2399999998,2023-11-13,Wholesale
Lisa Barnes,Sokoto,Phone,47.0,172256.3,8096046.1,2024-03-17,Wholesale
Kelly Donovan,Benue,Headphones,65.0,163185.67,10607068.55,2025-07-06,Retail
Mike Allen,Anambra,CAMERA,47.0,268780.26,12632672.22,2025-01-11,Direct
Michael Evans,Kano,Headphones,62.0,118662.47,7357073.14,2024-01-02,Direct
Paul Jones,enugu,Keyboard,47.0,157889.24,7420794.279999999,2024-04-04,Direct
Matthew Moore,Plateau,Laptop,47.0,103867.84,4881788.4799999995,2025-07-10,Retail
Zachary Ferrell,Sokoto,Camera,47.0,232032.77,10905540.19,2024-08-17,Direct
Daniel Baker,Enugu,Keyboard,74.0,44369.6,3283350.4,2025-06-05,Online
Shirley Suarez,Cross River,Tablet,47.0,13098.91,615648.77,2024-02-16,Retail
Christopher Bass,Benue,Charger,47.0,286616.46,13470973.620000001,2025-04-28,Wholesale
Lisa Archer,Ekiti,HEADPHONES,47.0,24169.32,1135958.04,2023-09-10,Online
Aimee Montoya,Oyo,Laptop,47.0,277240.88,13030321.36,2024-01-21,Direct
Matthew Mcmillan,Anambra,Headphones,47.0,196963.63,9257290.61,2023-12-10,Wholesale
Brian Rodriguez,oyo,Tablet,47.0,224327.88,10543410.36,2024-11-15,Direct
Denise Jacobs,Delta,Laptop,35.0,157889.24,5526123.399999999,2024-09-10,Direct
Christina Walters,Imo,Phone,47.0,64589.05,3035685.35,2024-02-09,Wholesale
John Whitehead,Imo,Tablet,47.0,248471.54,11678162.38,2023-10-16,Direct
Anna Henderson,Anambra,Monitor,47.0,81704.25,3840099.75,2024-11-07,Wholesale
Matthew Moore,Plateau,MONITOR,1.0,168824.4,168824.4,2024-03-02,Direct
Aaron Wise,Niger,Camera,47.0,81850.63,3846979.6100000003,2024-10-30,Direct
Deborah Figueroa,Plateau,Laptop,47.0,33213.36,1561027.92,2024-08-28,Retail
Jessica Smith,Benue,Camera,9.0,222396.85,2001571.6500000001,2023-09-21,Wholesale
Stephen Mckee,osun,Laptop,47.0,72164.98,3391754.0599999996,2024-08-04,Wholesale
Sandra Aguilar,Delta,Tablet,4.0,15704.25,62817.0,2024-11-19,Direct
Cameron Parker,Oyo,Laptop,47.0,157889.24,7420794.279999999,2023-11-18,Retail
Rebecca Valencia,Bauchi,Phone,47.0,271602.67,12765325.489999998,2024-10-12,Direct
Christine Wright,Cross River,CHARGER,47.0,68088.66,3200167.02,2024-10-04,Wholesale
Richard Henson,Kano,Monitor,44.0,70234.55,3090320.2,2023-11-07,Retail
Marc Moore,Abuja,Charger,47.0,30509.29,1433936.6300000001,2023-11-20,Direct
Sharon Cherry,Rivers,Laptop,47.0,99422.94,4672878.18,2024-12-03,Wholesale
Sierra Johnson,Oyo,Charger,47.0,141984.97,6673293.59,2024-11-07,Wholesale
Matthew Moore,kaduna,Phone,77.0,204517.0,15747809.0,2025-01-20,Direct
Evelyn Galvan,Niger,Monitor,7.0,41671.38,291699.66,2025-06-10,Direct
Sharon Cochran,Katsina,Keyboard,47.0,289373.37,13600548.39,2024-10-23,Retail
Richard Rodriguez,Kano,LAPTOP,47.0,157889.24,7420794.279999999,2024-03-29,Wholesale
Shannon Walker,Benue,Monitor,47.0,293384.26,13789060.22,2025-04-25,Direct
Julia Torres,Benue,Charger,47.0,47803.35,2246757.4499999997,2025-06-27,Wholesale
Crystal Johnson,Katsina,Keyboard,47.0,196041.39,9213945.33,2024-09-20,Direct
Garrett Lin,Ekiti,Headphones,47.0,264253.91,12419933.77,2023-08-11,Wholesale
Diana May,Bauchi,Monitor,47.0,142972.04,6719685.880000001,2025-04-11,Online
